iteration,time_out,hand_wrist_away,object_away,ep_len,mean_reward,voc,obj_pos_err,obj_rot_err,rw_err,lw_err,rf_err,lf_err,R_force_closure,R_object_kp,R_hand_kp,R_hand_joint,R_termination
144,0.9973,0.0,0.0027,287.11,41.7,1.0,0.0067,0.0103,0.0162,0.0363,0.2211,0.1872,1.2952,0.0,0.1296,0.1266,-0.0005
145,0.9967,0.0,0.0033,278.85,41.27,1.0,0.0083,0.0119,0.0168,0.0366,0.2203,0.1877,1.3794,0.0,0.1343,0.131,-0.002
146,0.9968,0.0,0.0032,286.71,41.85,1.0,0.0059,0.0081,0.0167,0.0363,0.222,0.1803,1.3778,0.0,0.1364,0.1332,0.0
147,0.9978,0.0,0.0022,274.18,40.64,1.0,0.0078,0.0137,0.0166,0.0374,0.2206,0.2046,1.248,0.0,0.1237,0.1205,0.0
148,0.9979,0.0,0.0021,275.02,40.82,1.0,0.0055,0.0071,0.0165,0.0362,0.2209,0.1728,1.3764,0.0,0.1353,0.132,-0.0005
149,0.9976,0.0,0.0024,262.4,38.73,1.0,0.007,0.011,0.0165,0.0367,0.2206,0.1906,1.2909,0.0,0.1286,0.1255,-0.0005
150,0.9978,0.0,0.0022,271.16,40.06,1.0,0.0059,0.008,0.0166,0.0363,0.2206,0.1832,1.2967,0.0,0.1264,0.1233,0.0
151,0.9977,0.0,0.0023,272.6,40.22,1.0,0.0058,0.0068,0.0166,0.0359,0.2223,0.1687,1.3202,0.0,0.1298,0.1267,-0.001
152,0.9976,0.0,0.0024,240.91,33.99,1.0,0.0073,0.0117,0.0166,0.0369,0.2212,0.1947,1.2552,0.0,0.1275,0.1244,0.0
153,0.9973,0.0,0.0027,266.27,39.94,1.0,0.0061,0.0067,0.0166,0.0357,0.2195,0.1689,1.3323,0.0,0.1313,0.1283,-0.0014
154,0.9974,0.0,0.0026,293.77,43.59,1.0,0.0069,0.0101,0.0166,0.0364,0.2213,0.1885,1.419,0.0,0.1385,0.1352,-0.0004
155,0.9975,0.0,0.0025,265.62,39.04,1.0,0.0072,0.0124,0.0166,0.0366,0.2217,0.1961,1.3789,0.0,0.1338,0.1305,-0.0004
156,0.9973,0.0,0.0027,286.7,42.51,1.0,0.0064,0.007,0.0172,0.0357,0.2218,0.1741,1.3148,0.0,0.1295,0.1265,-0.001
157,0.9973,0.0,0.0027,281.19,42.15,1.0,0.0071,0.0144,0.0164,0.0366,0.2217,0.2005,1.3077,0.0,0.127,0.1238,0.0
158,0.9973,0.0,0.0027,268.98,39.78,1.0,0.0061,0.0098,0.0165,0.0363,0.2203,0.1865,1.3071,0.0,0.1316,0.1284,0.0
159,0.9972,0.0,0.0028,300.64,44.72,1.0,0.0067,0.0083,0.0167,0.0359,0.2213,0.1786,1.304,0.0,0.129,0.126,-0.0012
160,0.9968,0.0,0.0032,291.85,43.27,1.0,0.0088,0.0143,0.017,0.0369,0.22,0.1987,1.3209,0.0,0.13,0.1268,-0.0019
161,0.9967,0.0,0.0033,270.29,39.63,1.0,0.0074,0.0122,0.0169,0.0368,0.2206,0.1977,1.2717,0.0,0.1266,0.1234,0.0
162,0.997,0.0,0.003,257.8,38.1,1.0,0.0061,0.0097,0.0165,0.0365,0.2219,0.185,1.3141,0.0,0.1282,0.125,0.0
